"","X1","blue_band_sf_mean","blue_band_sf_sd","green_band_sf_mean","green_band_sf_sd","red_band_sf_mean","red_band_sf_sd","nearinf_band_sf_mean","nearinf_sf_sd","shinf_band_sf_mean","shinf_sf_sd","shinf2_band_sf_mean","shinf2_sf_sd","bright_band_sf_mean","bright_sf_sd","npv","pv","bs"
"1",1,0.0504555555555555,0.00329008987081272,0.0704777777777778,0.00356675320075026,0.110922222222222,0.00607138603574688,0.173566666666667,0.00531162247654456,0.212411111111111,0.00900079557526186,0.177355555555556,0.0102274262115931,0.281633333333333,0.000298142396999972,0.437510728571429,0.10676901106413,0.4559009
"2",2,0.0508444444444444,0.00297250777444493,0.0744222222222222,0.00585107355349388,0.122711111111111,0.00479523940879425,0.198722222222222,0.0094076538317096,0.296466666666667,0.010373041983912,0.236222222222222,0.0132904960009254,0.2825,0,0.53573646747552,0.108839857725985,0.355361114272
"3",3,0.0459222222222222,0.00482142850610751,0.0768555555555556,0.0043456520060889,0.146644444444444,0.0104309487276099,0.211488888888889,0.00885167208867518,0.298633333333333,0.0191459888459408,0.262922222222222,0.0134235098720099,0.283,0,0.180644,0.035996,0.783456
"4",4,0.0483666666666667,0.00496163055635723,0.0780444444444444,0.00617631877255754,0.141233333333333,0.0143299996123129,0.209877777777778,0.0147801501855079,0.292277777777778,0.0230052543649284,0.238233333333333,0.0263936440160211,0.2825,0,0.28954466,0.07991786,0.63063081
"5",5,0.0750444444444444,0.00238844957200785,0.135711111111111,0.003415144195571,0.200788888888889,0.00271679731564945,0.299966666666667,0.00383695481107378,0.400622222222222,0.00396562389032325,0.2844,0.00637529955723215,0.303466666666667,0.000188561808316413,0.455,0.025,0.52
"6",6,0.0884333333333333,0.00315981715364108,0.1427,0.00191833260932509,0.216344444444444,0.0037924225945699,0.3249,0.00614039448606068,0.396366666666667,0.00535018172069365,0.277766666666667,0.00761839878189636,0.301833333333333,0.000235702260395516,0.56,0.075,0.365
"7",7,0.0903555555555555,0.00437571863586391,0.134233333333333,0.00500333222296235,0.188233333333333,0.00431199876314144,0.262277777777778,0.00268691387521741,0.407166666666667,0.00342863756549968,0.302077777777778,0.00431657729065161,0.301055555555555,0.000157134840269531,0.4824,0.1307,0.387
"8",8,0.0398444444444444,0.00171147182345172,0.0742333333333333,0.00162138486760204,0.128611111111111,0.0040755216283574,0.187,0.00344093010681705,0.291577777777778,0.00438653945554557,0.242688888888889,0.00527729822382713,0.309466666666667,0.000188561808316413,0.4081382218,0.12585111,0.4660106682
"9",9,0.0423777777777778,0.0017799986128445,0.0827777777777778,0.00364166560725476,0.149266666666667,0.00654013251649639,0.199888888888889,0.00599415353016662,0.308522222222222,0.00906896757296565,0.269111111111111,0.0064791022088016,0.309733333333333,0.000188561808316413,0.20644106556701,0.11409802020202,0.67968288
"10",10,0.0450666666666667,0.0017562586496426,0.0896111111111111,0.00537182866535007,0.161233333333333,0.00767043385706151,0.2103,0.00865332306111358,0.328955555555555,0.011713630342574,0.290711111111111,0.00898807165629941,0.309688888888889,0.000251415744436518,0.24211972,0.02962966,0.72844594
"11",11,0.0580333333333333,0.00163435342295084,0.128088888888889,0.00176788916472852,0.234822222222222,0.00212329815657734,0.2953,0.00314960314960472,0.428111111111111,0.00654411430972693,0.363833333333333,0.00553915356550279,0.3072,0,0.290734,0.033066,0.6762
"12",12,0.0584111111111111,0.00265306717444148,0.118777777777778,0.00318216480395133,0.200444444444444,0.00352833328959595,0.266155555555555,0.00287251771529667,0.407933333333333,0.00789233101744275,0.345388888888889,0.00524244312096474,0.308,0,0.486989,0.08,0.433011
"13",13,0.0419,0.00198102106108048,0.0787222222222222,0.00475739839683133,0.129455555555556,0.00658619956358428,0.179522222222222,0.00852718238963922,0.270522222222222,0.0181793397861893,0.231366666666667,0.0168476177016877,0.31,0,0.347896834421969,0.0968369219809029,0.557215459626
"14",14,0.0499333333333333,0.00495445927086566,0.0841555555555555,0.00350431832366582,0.0905,0.0090109809553554,0.282511111111111,0.0155481649109717,0.2886,0.0170263847536046,0.187866666666667,0.0205028995239427,0.294922222222222,0.000198761597990726,0.3167,0.4533,0.23
"15",15,0.0645111111111111,0.0024596496789604,0.102755555555556,0.0045023724884433,0.150322222222222,0.0127298230569686,0.263366666666667,0.0254116771058766,0.364566666666667,0.00463081466314993,0.2428,0.00700015872835911,0.295511111111111,0.000213148067720049,0.95,0,0.05
"16",16,0.0463555555555555,0.00308512960689791,0.0686111111111111,0.0020113259553751,0.0910777777777778,0.00280387738588231,0.181311111111111,0.00280493392453133,0.253833333333333,0.00443220537029191,0.136466666666667,0.00772226219014437,0.288688888888889,0.000409456128290948,0.7866,0.21,0.0033
"17",17,0.0755222222222222,0.00391344627258322,0.132888888888889,0.00642554700558534,0.207277777777778,0.0103135054691276,0.286233333333333,0.00820419946666882,0.379166666666667,0.0119127382802332,0.295133333333333,0.0108537755847652,0.301166666666667,0.000333333333333333,0.218953049016053,0.34330769962356,0.437707796526
"18",18,0.0676666666666666,0.00376327280730779,0.0951,0.00553895296965049,0.117988888888889,0.00807540084239979,0.278588888888889,0.00942401712463637,0.297211111111111,0.018094041035315,0.163344444444444,0.0103952030722628,0.294588888888889,0.000428030228547668,0.490178455947806,0.467852903855834,0.04214389
"19",19,0.0734333333333333,0.00279523403909822,0.0985111111111111,0.00322367783214005,0.138555555555556,0.00259320098681659,0.235011111111111,0.0125397540685121,0.276744444444444,0.00871819439908567,0.175333333333333,0.00485569539590137,0.295222222222222,0.000248451997492572,0.415,0.11,0.475
