"","blue_band_sf_mean","blue_band_sf_sd","green_band_sf_mean","green_band_sf_sd","red_band_sf_mean","red_band_sf_sd","nearinf_band_sf_mean","nearinf_sf_sd","shinf_band_sf_mean","shinf_sf_sd","shinf2_band_sf_mean","shinf2_sf_sd","bright_band_sf_mean","bright_sf_sd","npv","pv","bs"
"1870",0.0835888888888889,0.00640372191159077,0.1162,0.00720509079285843,0.164955555555556,0.0111718009202846,0.2361,0.00570613704707484,0.367733333333333,0.0209321655725239,0.254,0.0156042017133563,0.308544444444444,0.000561963049619494,0.833,0.017,0.15
"1871",0.057,0.00305614135798723,0.0826222222222222,0.00416273888944873,0.123955555555556,0.00763502326433347,0.211533333333333,0.0112528514904742,0.301433333333333,0.0128718469709846,0.221866666666667,0.0150489571436399,0.308322222222222,0.000248451997492572,0.706457660895522,0.188772672359551,0.1465156
"1872",0.0884222222222222,0.00300842438561302,0.117233333333333,0.00410338613559311,0.161877777777778,0.0047466427381836,0.239333333333333,0.00493851079667635,0.408211111111111,0.00298382470606947,0.280877777777778,0.00980802140855196,0.310333333333333,0.000349602949390051,0.876,0.043,0.08
"1873",0.0693333333333333,0.0045043189150957,0.0914,0.00747722467824051,0.122733333333333,0.0102299125661518,0.205577777777778,0.00482119804792131,0.372088888888889,0.030352757313681,0.264877777777778,0.0293174873024342,0.313666666666667,0.000498887651569859,0.727087041740365,0.0856729854179255,0.187339014
"1874",0.0568222222222222,0.00370968036292369,0.0801666666666666,0.00688089141511961,0.104088888888889,0.0127981287212401,0.209033333333333,0.00980861299516343,0.261255555555556,0.029324283115652,0.178311111111111,0.0255155483945876,0.306266666666667,0.000668331255192114,0.673438201438849,0.326090843256379,0.142336
"1875",0.0752777777777778,0.00311618633652596,0.105744444444444,0.00563286213238607,0.154611111111111,0.00800450490445419,0.239477777777778,0.0047571648367433,0.384888888888889,0.0151816734873515,0.287877777777778,0.0182932761040028,0.309022222222222,0.000335915921279656,0.74119,0.0871141843971631,0.17381
"1876",0.0551,0.00265329983228432,0.0917333333333333,0.0030854497241083,0.158722222222222,0.00876518083451385,0.217688888888889,0.00662225950772494,0.3665,0.00922460477924845,0.280511111111111,0.011730155293511,0.306866666666667,0.000235702260395516,0.684069,0.04529,0.270641
"1877",0.0553,0.00157480157480236,0.0948222222222222,0.00293703470178795,0.177077777777778,0.00612114328060771,0.243122222222222,0.0058238547329594,0.405044444444444,0.00838041514632042,0.317222222222222,0.00776785080783841,0.3049,0,0.51064978680851,0.0741687750515464,0.41706672
"1878",0.0695888888888889,0.00286024258662113,0.105344444444444,0.00550133541588081,0.166544444444444,0.0131923472017439,0.214022222222222,0.0150150130630628,0.361344444444444,0.0201527561451757,0.285088888888889,0.0191058132191603,0.3053,0,0.8077694,0.06493364,0.12729696
"1879",0.0665222222222222,0.00215085397912227,0.106788888888889,0.00233163959690936,0.177244444444444,0.00988681626219841,0.230055555555556,0.00664849374939951,0.378211111111111,0.00941328192200878,0.282144444444444,0.0156850325761084,0.301166666666667,0.000235702260395516,0.72867,0.06046,0.21186
"1880",0.0626444444444444,0.00151445707991787,0.107177777777778,0.00150020574720639,0.199222222222222,0.00582976610504251,0.262322222222222,0.00781562221561919,0.400444444444444,0.00838902869640587,0.331377777777778,0.00768313850480043,0.305855555555556,0.000283278861869513,0.4468,0.077948,0.475252
"1881",0.0671222222222222,0.00362085863904552,0.107422222222222,0.00245256227818898,0.183366666666667,0.00731452132557027,0.244322222222222,0.0100562614853495,0.384311111111111,0.00995372006889303,0.302411111111111,0.014861691577449,0.305744444444444,0.000157134840269531,0.64038,0.084598,0.275022
"1882",0.0661888888888889,0.00140035268926121,0.0992111111111111,0.00326409573812617,0.152877777777778,0.00763817572428536,0.193533333333333,0.00834851949616085,0.351566666666667,0.0148534320762726,0.263444444444444,0.0108642237654005,0.307677777777778,0.000301027048530424,0.844468,0.04985,0.105682
"1883",0.0465888888888889,0.00332680842865768,0.0837222222222222,0.00385422647601247,0.153522222222222,0.0086968420549298,0.229822222222222,0.012733662978087,0.376077777777778,0.0135121984211614,0.309433333333333,0.014851711461422,0.310488888888889,0.000119670329078179,0.702975025,0.0467438431437435,0.25076064
"1884",0.0794777777777778,0.00367386498807696,0.1215,0.0037016512831738,0.167688888888889,0.011677846495199,0.220755555555556,0.0181227365551375,0.338277777777778,0.0342668540130344,0.280322222222222,0.0223420767848856,0.305411111111111,0.000207869854838475,0.512652040816327,0.0493911534603811,0.43708
"1885",0.0826444444444444,0.00477077005456981,0.119022222222222,0.00531763894511631,0.160133333333333,0.00511707381659132,0.217822222222222,0.00614523804398823,0.311966666666667,0.00850659874581035,0.257566666666667,0.0117345643293648,0.304844444444444,0.000157134840269531,0.346789369640788,0.138362159916926,0.523841
"1886",0.0614222222222222,0.00565700701741315,0.103688888888889,0.00753900147299864,0.139955555555556,0.0138264730869695,0.240522222222222,0.0118892834825481,0.294888888888889,0.0211736442275899,0.215866666666667,0.0215020929213879,0.296444444444444,0.000283278861869513,0.629184258655723,0.268428819738167,0.10489451
"1887",0.0120666666666667,0.00547539952880153,0.0198333333333333,0.00344609279555202,0.0185333333333333,0.00223954360429878,0.156944444444444,0.0271926097440345,0.0562333333333333,0.0100633548636184,0.0229555555555555,0.00443148109455045,0.283733333333333,0.000377123616632825,0.654836142352941,0.879391987,0.004890424
"1888",0.0204222222222222,0.00438983112248645,0.0297888888888889,0.00377195629892336,0.0285111111111111,0.00403524594994446,0.141077777777778,0.0100889133626722,0.0830555555555555,0.0109095382437277,0.0401222222222222,0.00729623613436373,0.285233333333333,0.000339934634239519,0.667710689366235,0.429043455469293,0.0685755
"1889",0.0265888888888889,0.00295313183828981,0.0310777777777778,0.00515940947908183,0.0305444444444444,0.00556938279267623,0.154055555555556,0.0130643799964392,0.0938222222222222,0.0218275960796714,0.0407111111111111,0.00950911193942649,0.2853,0.000489897948556636,1.03224857793171,0.631096867609618,0.0153066
"1890",0.0615333333333333,0.00221610268514595,0.0989777777777777,0.00295137549016574,0.140344444444444,0.00522602698277508,0.268744444444444,0.00538560037117744,0.342366666666667,0.0112004960207623,0.2203,0.00799624912068152,0.313077777777778,7.85674201084237e-05,0.817338935862069,0.13580096343465,0.0509994
